   45.742591 cm^{-1} ... 1 
   60.779975 cm^{-1} ... 0 
   72.865581 cm^{-1} ... 0 
   74.791775 cm^{-1} ... 0 
   77.788347 cm^{-1} ... 0 
   88.376314 cm^{-1} ... 0 
  102.934257 cm^{-1} ... 0 
  107.582987 cm^{-1} ... 0 
  113.732736 cm^{-1} ... 0 
  116.684669 cm^{-1} ... 0 
  119.387219 cm^{-1} ... 0 
  123.318723 cm^{-1} ... 0 
  127.196257 cm^{-1} ... 0 
  133.095628 cm^{-1} ... 0 
  154.486434 cm^{-1} ... 0 
  189.310741 cm^{-1} ... 0 
  197.313551 cm^{-1} ... 0 
  199.982793 cm^{-1} ... 0 
  767.829916 cm^{-1} ... 0 
  801.192421 cm^{-1} ... 0 
  871.701671 cm^{-1} ... 0 
  914.785087 cm^{-1} ... 0 
  927.123728 cm^{-1} ... 0 
  986.403379 cm^{-1} ... 0 
 1000.755485 cm^{-1} ... 0 
 1013.018465 cm^{-1} ... 0 
 1022.615915 cm^{-1} ... 0 
 1082.473431 cm^{-1} ... 0 
 1140.704808 cm^{-1} ... 0 
 1166.593108 cm^{-1} ... 0 
